what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1490424119318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490424146574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490424151741
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1490424153497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1490424155258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1490424156837
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1490424158004
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1490424158624
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1490424161286
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1490424161454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1490424161642
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1490424161813
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1490424161994
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490424169399
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490424171299
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490424172354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490424224978
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490424226919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490424281666
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1490424289698
